"filename", "language", "JSON", "TypeScript", "CSS", "HTML", "Markdown", "JavaScript", "comment", "blank", "total"
"c:\Users\franc\soiap\soiap-frontend\README.md", "Markdown", 0, 0, 0, 0, 14, 0, 0, 14, 28
"c:\Users\franc\soiap\soiap-frontend\angular.json", "JSON", 114, 0, 0, 0, 0, 0, 21, 0, 135
"c:\Users\franc\soiap\soiap-frontend\e2e\protractor.conf.js", "JavaScript", 0, 0, 0, 0, 0, 29, 6, 2, 37
"c:\Users\franc\soiap\soiap-frontend\e2e\src\app.e2e-spec.ts", "TypeScript", 0, 18, 0, 0, 0, 0, 1, 5, 24
"c:\Users\franc\soiap\soiap-frontend\e2e\src\app.po.ts", "TypeScript", 0, 9, 0, 0, 0, 0, 0, 3, 12
"c:\Users\franc\soiap\soiap-frontend\e2e\tsconfig.json", "JSON", 12, 0, 0, 0, 0, 0, 1, 1, 14
"c:\Users\franc\soiap\soiap-frontend\karma.conf.js", "JavaScript", 0, 0, 0, 0, 0, 37, 6, 2, 45
"c:\Users\franc\soiap\soiap-frontend\package-lock.json", "JSON", 15057, 0, 0, 0, 0, 0, 0, 1, 15058
"c:\Users\franc\soiap\soiap-frontend\package.json", "JSON", 58, 0, 0, 0, 0, 0, 0, 1, 59
"c:\Users\franc\soiap\soiap-frontend\src\app\app.component.css", "CSS", 0, 0, 25, 0, 0, 0, 0, 4, 29
"c:\Users\franc\soiap\soiap-frontend\src\app\app.component.html", "HTML", 0, 0, 0, 29, 0, 0, 2, 3, 34
"c:\Users\franc\soiap\soiap-frontend\src\app\app.component.spec.ts", "TypeScript", 0, 27, 0, 0, 0, 0, 0, 5, 32
"c:\Users\franc\soiap\soiap-frontend\src\app\app.component.ts", "TypeScript", 0, 46, 0, 0, 0, 0, 0, 10, 56
"c:\Users\franc\soiap\soiap-frontend\src\app\app.module.ts", "TypeScript", 0, 93, 0, 0, 0, 0, 0, 7, 100
"c:\Users\franc\soiap\soiap-frontend\src\app\classes\anamnesis\anamnesis.ts", "TypeScript", 0, 12, 0, 0, 0, 0, 0, 3, 15
"c:\Users\franc\soiap\soiap-frontend\src\app\classes\ficha-tratamiento\ficha-tratamiento.ts", "TypeScript", 0, 11, 0, 0, 0, 0, 0, 3, 14
"c:\Users\franc\soiap\soiap-frontend\src\app\classes\horario-atencion\horario-atencion.ts", "TypeScript", 0, 14, 0, 0, 0, 0, 0, 3, 17
"c:\Users\franc\soiap\soiap-frontend\src\app\classes\paciente\paciente.ts", "TypeScript", 0, 22, 0, 0, 0, 0, 0, 4, 26
"c:\Users\franc\soiap\soiap-frontend\src\app\classes\pago\pago.ts", "TypeScript", 0, 7, 0, 0, 0, 0, 0, 2, 9
"c:\Users\franc\soiap\soiap-frontend\src\app\classes\sesion-terapia\sesion-terapia.ts", "TypeScript", 0, 10, 0, 0, 0, 0, 0, 3, 13
"c:\Users\franc\soiap\soiap-frontend\src\app\classes\usuario\usuario.ts", "TypeScript", 0, 9, 0, 0, 0, 0, 0, 2, 11
"c:\Users\franc\soiap\soiap-frontend\src\app\components\anamnesis\anamnesis-form\anamnesis-form.component.css", "CSS", 0, 0, 33, 0, 0, 0, 0, 6, 39
"c:\Users\franc\soiap\soiap-frontend\src\app\components\anamnesis\anamnesis-form\anamnesis-form.component.html", "HTML", 0, 0, 0, 186, 0, 0, 26, 29, 241
"c:\Users\franc\soiap\soiap-frontend\src\app\components\anamnesis\anamnesis-form\anamnesis-form.component.spec.ts", "TypeScript", 0, 20, 0, 0, 0, 0, 0, 6, 26
"c:\Users\franc\soiap\soiap-frontend\src\app\components\anamnesis\anamnesis-form\anamnesis-form.component.ts", "TypeScript", 0, 159, 0, 0, 0, 0, 15, 40, 214
"c:\Users\franc\soiap\soiap-frontend\src\app\components\anamnesis\anamnesis.component.css", "CSS", 0, 0, 20, 0, 0, 0, 0, 5, 25
"c:\Users\franc\soiap\soiap-frontend\src\app\components\anamnesis\anamnesis.component.html", "HTML", 0, 0, 0, 46, 0, 0, 5, 6, 57
"c:\Users\franc\soiap\soiap-frontend\src\app\components\anamnesis\anamnesis.component.spec.ts", "TypeScript", 0, 20, 0, 0, 0, 0, 0, 6, 26
"c:\Users\franc\soiap\soiap-frontend\src\app\components\anamnesis\anamnesis.component.ts", "TypeScript", 0, 14, 0, 0, 0, 0, 2, 7, 23
"c:\Users\franc\soiap\soiap-frontend\src\app\components\busqueda\busqueda-fecha\busqueda-fecha.component.css", "CSS", 0, 0, 8, 0, 0, 0, 0, 1, 9
"c:\Users\franc\soiap\soiap-frontend\src\app\components\busqueda\busqueda-fecha\busqueda-fecha.component.html", "HTML", 0, 0, 0, 12, 0, 0, 0, 1, 13
"c:\Users\franc\soiap\soiap-frontend\src\app\components\busqueda\busqueda-fecha\busqueda-fecha.component.spec.ts", "TypeScript", 0, 20, 0, 0, 0, 0, 0, 6, 26
"c:\Users\franc\soiap\soiap-frontend\src\app\components\busqueda\busqueda-fecha\busqueda-fecha.component.ts", "TypeScript", 0, 15, 0, 0, 0, 0, 0, 6, 21
"c:\Users\franc\soiap\soiap-frontend\src\app\components\busqueda\busqueda-pacientes\busqueda-paciente.component.css", "CSS", 0, 0, 8, 0, 0, 0, 0, 1, 9
"c:\Users\franc\soiap\soiap-frontend\src\app\components\busqueda\busqueda-pacientes\busqueda-paciente.component.html", "HTML", 0, 0, 0, 23, 0, 0, 1, 2, 26
"c:\Users\franc\soiap\soiap-frontend\src\app\components\busqueda\busqueda-pacientes\busqueda-paciente.component.spec.ts", "TypeScript", 0, 20, 0, 0, 0, 0, 0, 6, 26
"c:\Users\franc\soiap\soiap-frontend\src\app\components\busqueda\busqueda-pacientes\busqueda-paciente.component.ts", "TypeScript", 0, 15, 0, 0, 0, 0, 0, 7, 22
"c:\Users\franc\soiap\soiap-frontend\src\app\components\busqueda\filtrar-asistencia\filtrar-asistencia.component.css", "CSS", 0, 0, 16, 0, 0, 0, 0, 3, 19
"c:\Users\franc\soiap\soiap-frontend\src\app\components\busqueda\filtrar-asistencia\filtrar-asistencia.component.html", "HTML", 0, 0, 0, 14, 0, 0, 0, 0, 14
"c:\Users\franc\soiap\soiap-frontend\src\app\components\busqueda\filtrar-asistencia\filtrar-asistencia.component.spec.ts", "TypeScript", 0, 20, 0, 0, 0, 0, 0, 6, 26
"c:\Users\franc\soiap\soiap-frontend\src\app\components\busqueda\filtrar-asistencia\filtrar-asistencia.component.ts", "TypeScript", 0, 17, 0, 0, 0, 0, 3, 9, 29
"c:\Users\franc\soiap\soiap-frontend\src\app\components\ficha-tratamiento\ficha-tratamiento-form\ficha-tratamiento-form.component.css", "CSS", 0, 0, 33, 0, 0, 0, 0, 6, 39
"c:\Users\franc\soiap\soiap-frontend\src\app\components\ficha-tratamiento\ficha-tratamiento-form\ficha-tratamiento-form.component.html", "HTML", 0, 0, 0, 201, 0, 0, 26, 28, 255
"c:\Users\franc\soiap\soiap-frontend\src\app\components\ficha-tratamiento\ficha-tratamiento-form\ficha-tratamiento-form.component.spec.ts", "TypeScript", 0, 20, 0, 0, 0, 0, 0, 6, 26
"c:\Users\franc\soiap\soiap-frontend\src\app\components\ficha-tratamiento\ficha-tratamiento-form\ficha-tratamiento-form.component.ts", "TypeScript", 0, 160, 0, 0, 0, 0, 16, 41, 217
"c:\Users\franc\soiap\soiap-frontend\src\app\components\ficha-tratamiento\ficha-tratamiento.component.css", "CSS", 0, 0, 24, 0, 0, 0, 0, 6, 30
"c:\Users\franc\soiap\soiap-frontend\src\app\components\ficha-tratamiento\ficha-tratamiento.component.html", "HTML", 0, 0, 0, 60, 0, 0, 6, 8, 74
"c:\Users\franc\soiap\soiap-frontend\src\app\components\ficha-tratamiento\ficha-tratamiento.component.spec.ts", "TypeScript", 0, 20, 0, 0, 0, 0, 0, 6, 26
"c:\Users\franc\soiap\soiap-frontend\src\app\components\ficha-tratamiento\ficha-tratamiento.component.ts", "TypeScript", 0, 13, 0, 0, 0, 0, 2, 6, 21
"c:\Users\franc\soiap\soiap-frontend\src\app\components\hora-atencion\agenda\agenda.component.css", "CSS", 0, 0, 75, 0, 0, 0, 0, 22, 97
"c:\Users\franc\soiap\soiap-frontend\src\app\components\hora-atencion\agenda\agenda.component.html", "HTML", 0, 0, 0, 44, 0, 0, 3, 1, 48
"c:\Users\franc\soiap\soiap-frontend\src\app\components\hora-atencion\agenda\agenda.component.spec.ts", "TypeScript", 0, 20, 0, 0, 0, 0, 0, 6, 26
"c:\Users\franc\soiap\soiap-frontend\src\app\components\hora-atencion\agenda\agenda.component.ts", "TypeScript", 0, 32, 0, 0, 0, 0, 4, 12, 48
"c:\Users\franc\soiap\soiap-frontend\src\app\components\hora-atencion\agenda\horario\horario.component.css", "CSS", 0, 0, 56, 0, 0, 0, 0, 16, 72
"c:\Users\franc\soiap\soiap-frontend\src\app\components\hora-atencion\agenda\horario\horario.component.html", "HTML", 0, 0, 0, 188, 0, 0, 13, 10, 211
"c:\Users\franc\soiap\soiap-frontend\src\app\components\hora-atencion\agenda\horario\horario.component.spec.ts", "TypeScript", 0, 20, 0, 0, 0, 0, 0, 6, 26
"c:\Users\franc\soiap\soiap-frontend\src\app\components\hora-atencion\agenda\horario\horario.component.ts", "TypeScript", 0, 207, 0, 0, 0, 0, 14, 30, 251
"c:\Users\franc\soiap\soiap-frontend\src\app\components\hora-atencion\agenda\horario\nuevo-horario-form\nuevo-horario-form.component.css", "CSS", 0, 0, 76, 0, 0, 0, 0, 20, 96
"c:\Users\franc\soiap\soiap-frontend\src\app\components\hora-atencion\agenda\horario\nuevo-horario-form\nuevo-horario-form.component.html", "HTML", 0, 0, 0, 427, 0, 0, 40, 40, 507
"c:\Users\franc\soiap\soiap-frontend\src\app\components\hora-atencion\agenda\horario\nuevo-horario-form\nuevo-horario-form.component.spec.ts", "TypeScript", 0, 20, 0, 0, 0, 0, 0, 6, 26
"c:\Users\franc\soiap\soiap-frontend\src\app\components\hora-atencion\agenda\horario\nuevo-horario-form\nuevo-horario-form.component.ts", "TypeScript", 0, 192, 0, 0, 0, 0, 20, 27, 239
"c:\Users\franc\soiap\soiap-frontend\src\app\components\login\login.component.css", "CSS", 0, 0, 30, 0, 0, 0, 0, 6, 36
"c:\Users\franc\soiap\soiap-frontend\src\app\components\login\login.component.html", "HTML", 0, 0, 0, 54, 0, 0, 7, 7, 68
"c:\Users\franc\soiap\soiap-frontend\src\app\components\login\login.component.spec.ts", "TypeScript", 0, 20, 0, 0, 0, 0, 0, 6, 26
"c:\Users\franc\soiap\soiap-frontend\src\app\components\login\login.component.ts", "TypeScript", 0, 45, 0, 0, 0, 0, 2, 11, 58
"c:\Users\franc\soiap\soiap-frontend\src\app\components\paciente\atenciones-paciente\atenciones-paciente.component.css", "CSS", 0, 0, 80, 0, 0, 0, 0, 22, 102
"c:\Users\franc\soiap\soiap-frontend\src\app\components\paciente\atenciones-paciente\atenciones-paciente.component.html", "HTML", 0, 0, 0, 211, 0, 0, 18, 18, 247
"c:\Users\franc\soiap\soiap-frontend\src\app\components\paciente\atenciones-paciente\atenciones-paciente.component.spec.ts", "TypeScript", 0, 20, 0, 0, 0, 0, 0, 6, 26
"c:\Users\franc\soiap\soiap-frontend\src\app\components\paciente\atenciones-paciente\atenciones-paciente.component.ts", "TypeScript", 0, 188, 0, 0, 0, 0, 29, 55, 272
"c:\Users\franc\soiap\soiap-frontend\src\app\components\paciente\historial-pacientes\historial-pacientes.component.css", "CSS", 0, 0, 39, 0, 0, 0, 0, 9, 48
"c:\Users\franc\soiap\soiap-frontend\src\app\components\paciente\historial-pacientes\historial-pacientes.component.html", "HTML", 0, 0, 0, 50, 0, 0, 0, 2, 52
"c:\Users\franc\soiap\soiap-frontend\src\app\components\paciente\historial-pacientes\historial-pacientes.component.spec.ts", "TypeScript", 0, 20, 0, 0, 0, 0, 0, 6, 26
"c:\Users\franc\soiap\soiap-frontend\src\app\components\paciente\historial-pacientes\historial-pacientes.component.ts", "TypeScript", 0, 88, 0, 0, 0, 0, 8, 17, 113
"c:\Users\franc\soiap\soiap-frontend\src\app\components\paciente\lista-pacientes.component.css", "CSS", 0, 0, 39, 0, 0, 0, 0, 9, 48
"c:\Users\franc\soiap\soiap-frontend\src\app\components\paciente\lista-pacientes.component.html", "HTML", 0, 0, 0, 61, 0, 0, 0, 1, 62
"c:\Users\franc\soiap\soiap-frontend\src\app\components\paciente\lista-pacientes.component.spec.ts", "TypeScript", 0, 20, 0, 0, 0, 0, 0, 6, 26
"c:\Users\franc\soiap\soiap-frontend\src\app\components\paciente\lista-pacientes.component.ts", "TypeScript", 0, 94, 0, 0, 0, 0, 12, 20, 126
"c:\Users\franc\soiap\soiap-frontend\src\app\components\paciente\paciente-form\paciente-form.component.css", "CSS", 0, 0, 40, 0, 0, 0, 0, 8, 48
"c:\Users\franc\soiap\soiap-frontend\src\app\components\paciente\paciente-form\paciente-form.component.html", "HTML", 0, 0, 0, 301, 0, 0, 25, 32, 358
"c:\Users\franc\soiap\soiap-frontend\src\app\components\paciente\paciente-form\paciente-form.component.spec.ts", "TypeScript", 0, 20, 0, 0, 0, 0, 0, 6, 26
"c:\Users\franc\soiap\soiap-frontend\src\app\components\paciente\paciente-form\paciente-form.component.ts", "TypeScript", 0, 109, 0, 0, 0, 0, 8, 22, 139
"c:\Users\franc\soiap\soiap-frontend\src\app\components\paciente\paciente\paciente.component.css", "CSS", 0, 0, 49, 0, 0, 0, 0, 12, 61
"c:\Users\franc\soiap\soiap-frontend\src\app\components\paciente\paciente\paciente.component.html", "HTML", 0, 0, 0, 115, 0, 0, 16, 16, 147
"c:\Users\franc\soiap\soiap-frontend\src\app\components\paciente\paciente\paciente.component.spec.ts", "TypeScript", 0, 20, 0, 0, 0, 0, 0, 6, 26
"c:\Users\franc\soiap\soiap-frontend\src\app\components\paciente\paciente\paciente.component.ts", "TypeScript", 0, 112, 0, 0, 0, 0, 10, 27, 149
"c:\Users\franc\soiap\soiap-frontend\src\app\components\paginador\paginador.component.css", "CSS", 0, 0, 3, 0, 0, 0, 0, 0, 3
"c:\Users\franc\soiap\soiap-frontend\src\app\components\paginador\paginador.component.html", "HTML", 0, 0, 0, 18, 0, 0, 5, 4, 27
"c:\Users\franc\soiap\soiap-frontend\src\app\components\paginador\paginador.component.spec.ts", "TypeScript", 0, 20, 0, 0, 0, 0, 0, 6, 26
"c:\Users\franc\soiap\soiap-frontend\src\app\components\paginador\paginador.component.ts", "TypeScript", 0, 30, 0, 0, 0, 0, 1, 12, 43
"c:\Users\franc\soiap\soiap-frontend\src\app\components\pago\pago-form\pago-form.component.css", "CSS", 0, 0, 38, 0, 0, 0, 0, 9, 47
"c:\Users\franc\soiap\soiap-frontend\src\app\components\pago\pago-form\pago-form.component.html", "HTML", 0, 0, 0, 107, 0, 0, 5, 6, 118
"c:\Users\franc\soiap\soiap-frontend\src\app\components\pago\pago-form\pago-form.component.spec.ts", "TypeScript", 0, 20, 0, 0, 0, 0, 0, 6, 26
"c:\Users\franc\soiap\soiap-frontend\src\app\components\pago\pago-form\pago-form.component.ts", "TypeScript", 0, 76, 0, 0, 0, 0, 6, 16, 98
"c:\Users\franc\soiap\soiap-frontend\src\app\components\pago\pago.component.css", "CSS", 0, 0, 27, 0, 0, 0, 0, 7, 34
"c:\Users\franc\soiap\soiap-frontend\src\app\components\pago\pago.component.html", "HTML", 0, 0, 0, 23, 0, 0, 3, 3, 29
"c:\Users\franc\soiap\soiap-frontend\src\app\components\pago\pago.component.spec.ts", "TypeScript", 0, 20, 0, 0, 0, 0, 0, 6, 26
"c:\Users\franc\soiap\soiap-frontend\src\app\components\pago\pago.component.ts", "TypeScript", 0, 16, 0, 0, 0, 0, 0, 7, 23
"c:\Users\franc\soiap\soiap-frontend\src\app\components\sesion-terapia\lista-sesiones.component.css", "CSS", 0, 0, 46, 0, 0, 0, 0, 12, 58
"c:\Users\franc\soiap\soiap-frontend\src\app\components\sesion-terapia\lista-sesiones.component.html", "HTML", 0, 0, 0, 74, 0, 0, 7, 9, 90
"c:\Users\franc\soiap\soiap-frontend\src\app\components\sesion-terapia\lista-sesiones.component.spec.ts", "TypeScript", 0, 20, 0, 0, 0, 0, 0, 6, 26
"c:\Users\franc\soiap\soiap-frontend\src\app\components\sesion-terapia\lista-sesiones.component.ts", "TypeScript", 0, 61, 0, 0, 0, 0, 11, 21, 93
"c:\Users\franc\soiap\soiap-frontend\src\app\components\sesion-terapia\sesion-terapia-form\sesion-terapia-form.component.css", "CSS", 0, 0, 41, 0, 0, 0, 0, 8, 49
"c:\Users\franc\soiap\soiap-frontend\src\app\components\sesion-terapia\sesion-terapia-form\sesion-terapia-form.component.html", "HTML", 0, 0, 0, 98, 0, 0, 10, 12, 120
"c:\Users\franc\soiap\soiap-frontend\src\app\components\sesion-terapia\sesion-terapia-form\sesion-terapia-form.component.spec.ts", "TypeScript", 0, 20, 0, 0, 0, 0, 0, 6, 26
"c:\Users\franc\soiap\soiap-frontend\src\app\components\sesion-terapia\sesion-terapia-form\sesion-terapia-form.component.ts", "TypeScript", 0, 119, 0, 0, 0, 0, 11, 24, 154
"c:\Users\franc\soiap\soiap-frontend\src\app\guards\auth\auth.guard.spec.ts", "TypeScript", 0, 12, 0, 0, 0, 0, 0, 5, 17
"c:\Users\franc\soiap\soiap-frontend\src\app\guards\auth\auth.guard.ts", "TypeScript", 0, 38, 0, 0, 0, 0, 0, 14, 52
"c:\Users\franc\soiap\soiap-frontend\src\app\guards\role\role.guard.spec.ts", "TypeScript", 0, 12, 0, 0, 0, 0, 0, 5, 17
"c:\Users\franc\soiap\soiap-frontend\src\app\guards\role\role.guard.ts", "TypeScript", 0, 34, 0, 0, 0, 0, 0, 13, 47
"c:\Users\franc\soiap\soiap-frontend\src\app\services\anamnesis\anamnesis.service.spec.ts", "TypeScript", 0, 12, 0, 0, 0, 0, 0, 5, 17
"c:\Users\franc\soiap\soiap-frontend\src\app\services\anamnesis\anamnesis.service.ts", "TypeScript", 0, 27, 0, 0, 0, 0, 5, 10, 42
"c:\Users\franc\soiap\soiap-frontend\src\app\services\auth\auth.service.spec.ts", "TypeScript", 0, 12, 0, 0, 0, 0, 0, 5, 17
"c:\Users\franc\soiap\soiap-frontend\src\app\services\auth\auth.service.ts", "TypeScript", 0, 94, 0, 0, 0, 0, 3, 33, 130
"c:\Users\franc\soiap\soiap-frontend\src\app\services\dictado\dictado.service.spec.ts", "TypeScript", 0, 12, 0, 0, 0, 0, 0, 5, 17
"c:\Users\franc\soiap\soiap-frontend\src\app\services\dictado\dictado.service.ts", "TypeScript", 0, 33, 0, 0, 0, 0, 3, 13, 49
"c:\Users\franc\soiap\soiap-frontend\src\app\services\ficha-tratamiento\ficha-tratamiento.service.spec.ts", "TypeScript", 0, 12, 0, 0, 0, 0, 0, 5, 17
"c:\Users\franc\soiap\soiap-frontend\src\app\services\ficha-tratamiento\ficha-tratamiento.service.ts", "TypeScript", 0, 27, 0, 0, 0, 0, 5, 10, 42
"c:\Users\franc\soiap\soiap-frontend\src\app\services\horario-atencion\horario-atencion.service.spec.ts", "TypeScript", 0, 12, 0, 0, 0, 0, 0, 5, 17
"c:\Users\franc\soiap\soiap-frontend\src\app\services\horario-atencion\horario-atencion.service.ts", "TypeScript", 0, 37, 0, 0, 0, 0, 8, 13, 58
"c:\Users\franc\soiap\soiap-frontend\src\app\services\paciente\paciente.service.spec.ts", "TypeScript", 0, 12, 0, 0, 0, 0, 0, 5, 17
"c:\Users\franc\soiap\soiap-frontend\src\app\services\paciente\paciente.service.ts", "TypeScript", 0, 95, 0, 0, 0, 0, 23, 27, 145
"c:\Users\franc\soiap\soiap-frontend\src\app\services\pago\pago.service.spec.ts", "TypeScript", 0, 12, 0, 0, 0, 0, 0, 5, 17
"c:\Users\franc\soiap\soiap-frontend\src\app\services\pago\pago.service.ts", "TypeScript", 0, 27, 0, 0, 0, 0, 5, 10, 42
"c:\Users\franc\soiap\soiap-frontend\src\app\services\sesion-terapia\sesion-terapia.service.spec.ts", "TypeScript", 0, 12, 0, 0, 0, 0, 0, 5, 17
"c:\Users\franc\soiap\soiap-frontend\src\app\services\sesion-terapia\sesion-terapia.service.ts", "TypeScript", 0, 30, 0, 0, 0, 0, 6, 11, 47
"c:\Users\franc\soiap\soiap-frontend\src\environments\environment.prod.ts", "TypeScript", 0, 3, 0, 0, 0, 0, 0, 1, 4
"c:\Users\franc\soiap\soiap-frontend\src\environments\environment.ts", "TypeScript", 0, 3, 0, 0, 0, 0, 11, 3, 17
"c:\Users\franc\soiap\soiap-frontend\src\index.html", "HTML", 0, 0, 0, 13, 0, 0, 0, 1, 14
"c:\Users\franc\soiap\soiap-frontend\src\main.ts", "TypeScript", 0, 9, 0, 0, 0, 0, 0, 4, 13
"c:\Users\franc\soiap\soiap-frontend\src\polyfills.ts", "TypeScript", 0, 1, 0, 0, 0, 0, 57, 8, 66
"c:\Users\franc\soiap\soiap-frontend\src\styles.css", "CSS", 0, 0, 6, 0, 0, 0, 0, 6, 12
"c:\Users\franc\soiap\soiap-frontend\src\test.ts", "TypeScript", 0, 18, 0, 0, 0, 0, 4, 4, 26
"c:\Users\franc\soiap\soiap-frontend\tsconfig.app.json", "JSON", 14, 0, 0, 0, 0, 0, 1, 1, 16
"c:\Users\franc\soiap\soiap-frontend\tsconfig.json", "JSON", 29, 0, 0, 0, 0, 0, 1, 1, 31
"c:\Users\franc\soiap\soiap-frontend\tsconfig.spec.json", "JSON", 17, 0, 0, 0, 0, 0, 1, 1, 19
"c:\Users\franc\soiap\soiap-frontend\tslint.json", "JSON", 152, 0, 0, 0, 0, 0, 0, 1, 153
"Total", "-", 15453, 3056, 812, 2355, 14, 66, 560, 1279, 23595